Participant,Task_Name,Mental_Demand,Physical_Demand,Temporal_Demand,Performance,Effort,Frustration,Raw_Score
8,AH,70,60,40,70,60,80,63.33
8,NC,80,70,70,70,70,70,71.67
8,AO,80,70,70,70,70,70,71.67
8,HO,80,70,70,70,70,70,71.67
9,NC,20,40,40,60,60,40,43.33
9,AH,30,30,30,75,80,20,44.17
9,AO,30,30,30,80,75,35,46.67
9,HO,50,30,40,85,75,45,54.17
16,HO,50,20,50,0,80,0,33.33
16,AO,50,0,50,0,60,0,26.67
16,NC,50,0,50,20,85,20,37.5
16,AH,50,25,0,0,40,0,19.17
17,AH,25,20,0,0,5,0,8.33
17,NC,20,30,0,0,5,0,9.17
17,HO,20,55,0,0,5,30,18.33
17,AO,15,55,0,0,5,60,22.5
20,HO,70,55,10,25,40,95,49.17
20,AO,50,45,10,35,30,95,44.17
20,NC,40,40,15,30,30,65,36.67
20,AH,40,30,30,35,30,75,40.0
18,NC,80,20,20,60,60,60,50.0
18,AH,80,20,40,40,80,60,53.33
18,AO,40,0,20,40,40,40,30.0
18,HO,20,0,20,20,20,20,16.67
1,NC,20,20,30,30,70,80,41.67
1,AH,20,20,30,60,50,80,43.33
1,AO,10,20,30,20,30,45,25.83
1,HO,10,20,30,20,30,45,25.83
2,NC,60,45,10,60,70,60,50.83
2,AH,60,45,25,60,70,60,53.33
2,AO,75,40,55,35,95,80,63.33
2,HO,80,65,20,55,100,90,68.33
3,AH,20,30,10,10,40,60,28.33
3,NC,20,20,20,10,20,20,18.33
3,AO,20,20,20,15,20,25,20.0
3,HO,20,20,20,10,20,30,20.0
13,NC,0,0,0,10,10,20,6.67
13,AH,0,0,0,10,10,20,6.67
13,AO,0,0,0,10,10,20,6.67
13,HO,0,0,0,10,10,20,6.67
7,HO,10,10,25,20,10,40,19.17
7,AO,10,10,20,20,10,30,16.67
7,NC,10,10,15,15,10,20,13.33
7,AH,10,10,5,10,10,15,10.0
6,AO,15,20,50,20,55,85,40.83
6,HO,25,15,50,5,40,80,35.83
6,AH,15,10,60,0,30,85,33.33
6,NC,0,5,30,0,20,50,17.5
12,AH,0,0,0,100,0,100,33.33
12,NC,0,0,0,100,0,50,25.0
12,HO,0,0,0,100,0,100,33.33
12,AO,0,0,0,100,0,20,20.0
19,AO,50,65,40,15,65,50,47.5
19,HO,50,65,40,15,65,70,50.83
19,AH,50,65,30,25,65,70,50.83
19,NC,50,65,30,40,65,5,42.5
4,HO,75,80,85,50,50,20,60.0
4,AO,50,55,55,35,35,20,41.67
4,AH,80,80,80,60,60,80,73.33
4,NC,55,65,65,20,20,20,40.83
10,AO,10,15,30,30,50,100,39.17
10,HO,25,20,20,15,50,60,31.67
10,AH,20,15,15,10,45,25,21.67
10,NC,10,15,10,10,20,15,13.33
11,HO,10,10,5,40,35,10,18.33
11,AO,5,15,5,30,25,10,15.0
11,AH,5,15,5,30,25,10,15.0
11,NC,5,15,5,65,50,0,23.33
5,AH,80,80,60,20,20,20,46.67
5,NC,80,80,60,10,10,10,41.67
5,HO,90,90,70,20,20,20,51.67
5,AO,80,80,80,10,10,10,45.0
